interaction_id,ad_id,user_id,interaction_type,interaction_date
36fbba69-ed86-4804-a546-97391119b907,d9268924-b538-4ba3-9d8b-3e8f4c087ea8,123ae09f-098d-47e5-8d8f-e769aea28a13,conversion,2023-09-18 07:53:44
66aa3be9-4e4d-4e0d-92d0-d7209b320553,bc0d84cf-5026-4ae9-a8b4-df388179d9e2,a5729a82-1ffd-4df5-8d0b-a6ef8b11524d,conversion,2023-09-21 21:29:50
60c4a41a-6fe0-48f3-adb5-a41e4a2b3bc4,c72c0e96-7a17-49f1-9548-52a3f54bf7e3,4e3757e2-f622-4b03-ac83-7c6055702190,view,2023-09-19 13:31:05
aa15b9e9-1a8f-4f9d-b629-871a26087706,d99450e5-06bf-490d-a88a-101a17caa881,db6a75d7-ad0a-45a6-ba49-bb4d3f7829b7,view,2023-09-29 10:07:59
b8fad926-e152-4b1e-a445-e1df236d20e4,dd67436e-9798-44cb-baae-7c37f66c442e,963cac21-68c7-435f-abc1-36ae79a86936,click,2023-09-28 16:35:43
725fa3ac-dcad-4a48-8715-314ae5c40906,dd67436e-9798-44cb-baae-7c37f66c442e,b33b00b4-6da4-473a-a720-7cb195157d73,click,2023-09-16 17:19:22
335b7771-3e61-48fb-9601-a44bd884e64a,d30d671b-9ea9-4dfa-93e0-991676fd6eb1,853e0b90-25d9-44f8-bb07-ab5605adeb30,click,2023-09-17 20:49:40
aefe30f0-2428-4fd7-bb66-8eabd7c92eda,d9efafdb-1f19-446f-917e-bfa4a1e01c4d,1084c88f-4c50-4f6f-910f-ddf5b6fe7b01,conversion,2023-09-22 13:46:29
6a54d018-cc34-4609-9a97-fa04187b26fb,3efcdd4d-937c-4f40-b421-30d75d4fb732,5be15543-5e31-49fa-8e26-f513f0f722e3,click,2023-09-17 22:37:25
49ba2e91-174e-41d9-866c-5f19fdcb6150,c72c0e96-7a17-49f1-9548-52a3f54bf7e3,e3499036-7d82-4c43-8575-74f8b98557fd,view,2023-09-30 23:06:50
827aa2ae-dfd1-4663-8d04-3a71f902053c,65c7b42b-c7b6-473e-bb64-c7ef01c27af3,e6dc8e82-3cef-4710-ab6f-102c72ccf85e,view,2023-09-28 01:57:58
